GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US02090000600,02090000600,"Census Tract 6, Fairbanks North Star Borough, Alaska",4405,433
1400000US02090000700,02090000700,"Census Tract 7, Fairbanks North Star Borough, Alaska",4243,347
1400000US02090000800,02090000800,"Census Tract 8, Fairbanks North Star Borough, Alaska",6209,638
1400000US02090000900,02090000900,"Census Tract 9, Fairbanks North Star Borough, Alaska",5756,721
1400000US02090001000,02090001000,"Census Tract 10, Fairbanks North Star Borough, Alaska",1633,292
1400000US02090001100,02090001100,"Census Tract 11, Fairbanks North Star Borough, Alaska",8552,586
1400000US02090001200,02090001200,"Census Tract 12, Fairbanks North Star Borough, Alaska",6640,711
1400000US02090001300,02090001300,"Census Tract 13, Fairbanks North Star Borough, Alaska",6561,688
1400000US02090001400,02090001400,"Census Tract 14, Fairbanks North Star Borough, Alaska",7587,1100
1400000US02090001500,02090001500,"Census Tract 15, Fairbanks North Star Borough, Alaska",11607,871
1400000US02090001600,02090001600,"Census Tract 16, Fairbanks North Star Borough, Alaska",4838,354
1400000US02090001700,02090001700,"Census Tract 17, Fairbanks North Star Borough, Alaska",1159,201
1400000US02090001800,02090001800,"Census Tract 18, Fairbanks North Star Borough, Alaska",2743,441
1400000US02090001900,02090001900,"Census Tract 19, Fairbanks North Star Borough, Alaska",10368,988
1400000US02100000100,02100000100,"Census Tract 1, Haines Borough, Alaska",2557,*****
1400000US02105000200,02105000200,"Census Tract 2, Hoonah-Angoon Census Area, Alaska",66,22
1400000US02105000300,02105000300,"Census Tract 3, Hoonah-Angoon Census Area, Alaska",2060,22
1400000US02110000100,02110000100,"Census Tract 1, Juneau City and Borough, Alaska",4839,413
1400000US02110000200,02110000200,"Census Tract 2, Juneau City and Borough, Alaska",7143,418
1400000US02110000300,02110000300,"Census Tract 3, Juneau City and Borough, Alaska",5862,372
1400000US02110000400,02110000400,"Census Tract 4, Juneau City and Borough, Alaska",4704,483
1400000US02110000500,02110000500,"Census Tract 5, Juneau City and Borough, Alaska",3809,310
1400000US02110000600,02110000600,"Census Tract 6, Juneau City and Borough, Alaska",5843,275
1400000US02122000100,02122000100,"Census Tract 1, Kenai Peninsula Borough, Alaska",403,269
1400000US02122000200,02122000200,"Census Tract 2, Kenai Peninsula Borough, Alaska",5723,483
1400000US02122000300,02122000300,"Census Tract 3, Kenai Peninsula Borough, Alaska",1020,242
1400000US02122000400,02122000400,"Census Tract 4, Kenai Peninsula Borough, Alaska",6686,651
1400000US02122000500,02122000500,"Census Tract 5, Kenai Peninsula Borough, Alaska",6479,351
1400000US02122000600,02122000600,"Census Tract 6, Kenai Peninsula Borough, Alaska",7348,33
1400000US02122000700,02122000700,"Census Tract 7, Kenai Peninsula Borough, Alaska",9850,659
1400000US02122000800,02122000800,"Census Tract 8, Kenai Peninsula Borough, Alaska",3715,245
1400000US02122000900,02122000900,"Census Tract 9, Kenai Peninsula Borough, Alaska",2154,178
1400000US02122001000,02122001000,"Census Tract 10, Kenai Peninsula Borough, Alaska",4219,143
1400000US02122001100,02122001100,"Census Tract 11, Kenai Peninsula Borough, Alaska",3053,265
1400000US02122001200,02122001200,"Census Tract 12, Kenai Peninsula Borough, Alaska",926,106
1400000US02122001300,02122001300,"Census Tract 13, Kenai Peninsula Borough, Alaska",5111,525
1400000US02130000100,02130000100,"Census Tract 1, Ketchikan Gateway Borough, Alaska",3472,197
1400000US02130000200,02130000200,"Census Tract 2, Ketchikan Gateway Borough, Alaska",4936,237
1400000US02130000300,02130000300,"Census Tract 3, Ketchikan Gateway Borough, Alaska",2950,208
1400000US02130000400,02130000400,"Census Tract 4, Ketchikan Gateway Borough, Alaska",2318,183
1400000US02150000100,02150000100,"Census Tract 1, Kodiak Island Borough, Alaska",1954,291
1400000US02150000200,02150000200,"Census Tract 2, Kodiak Island Borough, Alaska",6655,399
1400000US02150000300,02150000300,"Census Tract 3, Kodiak Island Borough, Alaska",2942,277
1400000US02150000400,02150000400,"Census Tract 4, Kodiak Island Borough, Alaska",976,171
1400000US02150000500,02150000500,"Census Tract 5, Kodiak Island Borough, Alaska",1397,204
1400000US02164000100,02164000100,"Census Tract 1, Lake and Peninsula Borough, Alaska",1490,126
1400000US02170000101,02170000101,"Census Tract 1.01, Matanuska-Susitna Borough, Alaska",735,232
1400000US02170000102,02170000102,"Census Tract 1.02, Matanuska-Susitna Borough, Alaska",2041,340
1400000US02170000200,02170000200,"Census Tract 2, Matanuska-Susitna Borough, Alaska",1944,226
1400000US02170000300,02170000300,"Census Tract 3, Matanuska-Susitna Borough, Alaska",6094,427
1400000US02170000401,02170000401,"Census Tract 4.01, Matanuska-Susitna Borough, Alaska",2058,191
1400000US02170000402,02170000402,"Census Tract 4.02, Matanuska-Susitna Borough, Alaska",1979,306
1400000US02170000501,02170000501,"Census Tract 5.01, Matanuska-Susitna Borough, Alaska",2209,307
